,datePrecipDf,precipGR (m),precipIT (m),precipFR (m)
,0,EL,IT,FR
0,1/1/2022,0.014318873,0.002298773,0.000296778
1,1/2/2022,9.81e-05,0.002211878,0.00095068
2,1/3/2022,0.004991484,0.003769347,0.003573275
3,1/4/2022,0.002363912,0.002055492,0.000425852
4,1/5/2022,0.007886035,0.00455693,0.000298912
5,1/6/2022,0.01070404,0.004259927,6.51e-05
6,1/7/2022,0.007313894,0.001605565,0.000757685
7,1/8/2022,0.001008329,0.000628543,0.000993599
8,1/9/2022,0.005930838,0.005667413,0.003855656
9,1/10/2022,0.001892961,0.001122248,0.00259286
10,1/11/2022,0.000108034,0.004003596,0.004414162
11,1/12/2022,2.81e-05,0.003226276,0.00311504
12,1/13/2022,0.000430701,0.001823852,0.006864551
13,1/14/2022,0.000779217,0.007144252,0.005485562
14,1/15/2022,0.006991304,0.008231192,0.005148313
15,1/16/2022,0.011115845,0.005040014,0.005586822
16,1/17/2022,0.00250708,0.000574892,0.00455829
17,1/18/2022,6.47e-05,0.000872852,0.003563743
18,1/19/2022,0.013781567,0.007194758,0.002603538
19,1/20/2022,0.008274508,0.002611836,4.38e-05
20,1/21/2022,0.001524217,0.00038073,4.15e-05
21,1/22/2022,0.001160135,0.001077568,0.00111193
22,1/23/2022,0.009873592,0.007112214,0.000359522
23,1/24/2022,0.011981075,0.001431053,0.000520638
24,1/25/2022,0.009418594,0.000186669,0.001370731
25,1/26/2022,0.008146895,0.005290327,0.001148407
26,1/27/2022,0.003977224,0.001342616,0.005535059
27,1/28/2022,2.77e-05,0.01834207,0.004658476
28,1/29/2022,3.4e-05,0.015902455,0.001287924
29,1/30/2022,7.63e-05,0.002605652,0.000740636
30,1/31/2022,0.003274405,0.00050135,0.002241884
31,2/1/2022,0.009198496,0.000173824,0.005879258
32,2/2/2022,0.004648286,0.00254133,0.005846277
33,2/3/2022,0.003017769,0.003928008,0.006980038
34,2/4/2022,0.003000119,0.010773919,0.004466015
35,2/5/2022,0.018919937,0.004107181,0.001048223
36,2/6/2022,0.006639152,0.001068669,0.003538046
37,2/7/2022,0.006266186,0.002494912,0.002465566
38,2/8/2022,0.015272988,0.002380268,0.000366556
39,2/9/2022,0.020277953,0.001231713,0.003831723
40,2/10/2022,0.014417114,0.000870269,0.000423437
41,2/11/2022,0.009014029,0.00082627,2e-05
42,2/12/2022,0.005617205,0.000211915,1.92e-05
43,2/13/2022,0.001238445,0.000225444,1.59e-05
44,2/14/2022,0.000313384,0.000124689,0.000172024
45,2/15/2022,2.85e-05,9.79e-05,0.00011481
46,2/16/2022,3.96e-05,0.000938233,0.000458026
47,2/17/2022,0.000737121,0.003230706,0.000179975
48,2/18/2022,0.002052724,0.001496251,0.000148724
49,2/19/2022,0.000254441,0.000157868,0.000982405
50,2/20/2022,0.000251908,0.001225075,0.007176085
51,2/21/2022,0.000101907,0.008690366,0.004388346
52,2/22/2022,0.000453431,0.000610396,0.004119337
53,2/23/2022,0.000104962,0.007696625,0.007227442
54,2/24/2022,0.004265641,0.001180965,0.003515972
55,2/25/2022,0.000294048,0.000620428,0.006373142
56,2/26/2022,7.73e-05,0.002931987,0.003581257
57,2/27/2022,3.17e-05,0.001054413,0.001871427
58,2/28/2022,3.19e-05,0.000252444,0.007071596
59,3/1/2022,4.92e-05,0.000678013,0.008749656
60,3/2/2022,4.86e-05,0.000840785,0.009636363
61,3/3/2022,4.1e-05,0.001389215,0.003129858
62,3/4/2022,4.71e-05,0.001766262,0.004608037
63,3/5/2022,0.000131901,0.000774458,0.009401418
64,3/6/2022,0.003553953,0.00230005,0.006662168
65,3/7/2022,0.003635091,0.002504704,0.009737085
66,3/8/2022,0.015015298,0.004217098,0.000598211
67,3/9/2022,0.007655355,0.000326549,0.000798812
68,3/10/2022,0.00060448,0.000512492,0.003437492
69,3/11/2022,0.000188256,0.000684822,0.003767291
70,3/12/2022,6.6e-05,0.000647044,0.008684115
71,3/13/2022,0.000118286,0.000306324,0.006760869
72,3/14/2022,0.000172649,0.001085722,0.012650019
73,3/15/2022,4.4e-05,4.64e-05,0.002282015
74,3/16/2022,4.07e-05,0.000577878,0.001097939
75,3/17/2022,0.000527468,5.2e-05,8.37e-06
76,3/18/2022,5.08e-05,2.53e-05,7.07e-06
77,3/19/2022,4.86e-05,2.42e-05,0.00024834
78,3/20/2022,4.1e-05,2.46e-05,3.92e-05
79,3/21/2022,3.66e-05,2.48e-05,1.88e-05
80,3/22/2022,3.8e-05,4.76e-05,0.003974276
81,3/23/2022,4.9e-05,0.00245369,0.006503296
82,3/24/2022,0.002860263,0.000905794,0.000227046
83,3/25/2022,0.000457058,3.62e-05,0.001510193
84,3/26/2022,8.21e-05,0.001904932,0.003882539
85,3/27/2022,5.73e-05,0.002421558,0.00370749
86,3/28/2022,4.87e-05,0.000165661,0.000503097
87,3/29/2022,0.000224087,2.48e-05,3.69e-05
88,3/30/2022,4.62e-05,0.002202097,0.001180335
89,3/31/2022,0.001766798,0.004185825,0.000978482
90,4/1/2022,0.001642332,0.001309767,0.001357551
91,4/2/2022,0.006189422,0.001202337,0.002031772
92,4/3/2022,0.000865708,7.79e-05,0.003923632
93,4/4/2022,0.001045426,0.00028418,0.001501928
94,4/5/2022,0.006747607,0.003793359,0.000977665
