index,name,maps,type,website,imgpath,desc
1,National Archaeological Museum,https://goo.gl/maps/PvxbvAuqEHzWAhwG7,museum,https://www.namuseum.gr/en/,../assets/points_of_interest/athens/museums/national_archeological_museum.jpg,"The National Archaeological Museum (Greek: Εθνικό Αρχαιολογικό Μουσείο) in Athens houses some of the most important artifacts from a variety of archaeological locations around Greece from prehistory to late antiquity. It is considered one of the greatest museums in the world and contains the richest collection of Greek Antiquity artifacts worldwide.[1] It is situated in the Exarcheia area in central Athens between Epirus Street, Bouboulinas Street and Tositsas Street while its entrance is on the Patission Street adjacent to the historical building of the Athens Polytechnic university."
2,Acropolis Museum,https://g.page/acropolismuseumGR?share,museum,https://www.theacropolismuseum.gr/en/,../assets/points_of_interest/athens/museums/acropolis_museum.jpg,"The Acropolis Museum is an archaeological museum focused on the findings of the archaeological site of the Acropolis of Athens. The museum was built to house every artifact found on the rock and on the surrounding slopes, from the Greek Bronze Age to Roman and Byzantine Greece"
3,Benaki Museum,https://goo.gl/maps/RxNXQBzNyNpWfBb2A,museum,https://www.benaki.org/index.php?lang=en,../assets/points_of_interest/athens/museums/benaki_museum.jpg,"The Benaki Museum, established and endowed in 1930 by Antonis Benakis in memory of his father Emmanuel Benakis, is housed in the Benakis family mansion in downtown Athens, Greece"
4,Museum of Cycladic Art,https://goo.gl/maps/aWTAVhKMd5KHed5s9,museum,https://cycladic.gr/,../assets/points_of_interest/athens/museums/museum_of_cycladic_Art.jpg,The Nicholas P. Goulandris Foundation - Museum of Cycladic Art is a museum of Athens. It houses a notable collection of artifacts of Cycladic art. The museum was founded in 1986 in order to house the collection of Cycladic and Ancient Greek art belonging to Nicholas and Dolly Goulandris.
5,Athens War Museum,https://goo.gl/maps/AkM4pcYBiu3qqEYq8,museum,,../assets/points_of_interest/athens/museums/war_museum.jpg,"The Athens War Museum, established on July 18, 1975, is the museum of the Greek Armed Forces. Its purpose is the exhibition of weapon artifacts and the relevant research in the history of war. It covers the history of war in all ages."
6,National Museum of Contemporary Art,https://g.page/EMSTathens?share,museum,https://www.emst.gr/,../assets/points_of_interest/athens/museums/national_museum_of_contemporary_art.jpg,"The National Museum of Contemporary Art, established in October 2000, is the sole national institution focused only on collecting and exhibiting contemporary Greek and international art in Athens."
7,National Historical Museum,https://goo.gl/maps/mbJQz7HzQGxbucKe7,museum,https://www.nhmuseum.gr/,../assets/points_of_interest/athens/museums/national_historical_museum.jpg,"The National Historical Museum is a historical museum in Athens. Founded in 1882, is the oldest of its kind in Greece. It is located in the Old Parliament House at Stadiou Street in Athens, which housed the Hellenic Parliament from 1875 until 1932."
8,National Gallery,https://goo.gl/maps/s347awoT9rutBRceA,museum,,../assets/points_of_interest/athens/museums/national_gallery.jpg,"The National Art Gallery is an art museum located on Vasilissis Sofias avenue in the Pangrati district, Athens, Greece. It is devoted to Greek and European art from the 14th century to the 20th century. It is directed by Marina Lambraki-Plaka."
9,Acropolis of Athens,https://g.page/acropolis-bnb?share,out,,../assets/points_of_interest/athens/out_places/acropolis.jpg,"The Acropolis of Athens is an ancient citadel located on a rocky outcrop above the city of Athens and contains the remains of several ancient buildings of great architectural and historical significance, the most famous being the Parthenon. The word acropolis is from the Greek words ἄκρον and πόλις."
10,Odeon of Herodes Atticus,https://goo.gl/maps/oxFBuUzctkm13z4o6,out,,../assets/points_of_interest/athens/out_places/OdeonofHerodesAtticus.jpg,"The Odeon of Herodes Atticus is a stone Roman theatre structure located on the southwest slope of the Acropolis of Athens, Greece. The building was completed in AD 161 and then renovated in 1950."
11,Temple of Olympian Zeus,https://goo.gl/maps/tJXUnT9tKw5q2g5z5,out,,../assets/points_of_interest/athens/out_places/Temple-Olympian-Zeus.jpg,"The Temple of Olympian Zeus, also known as the Olympieion or Columns of the Olympian Zeus, is a former colossal temple at the center of the Greek capital Athens. It was dedicated to ""Olympian"" Zeus, a name originating from his position as head of the Olympian gods."
12,Plaka,https://goo.gl/maps/yYu3RFH1tgJP9WpbA,out,,../assets/points_of_interest/athens/out_places/plaka.jpg,"In the shadow of the Acropolis and its ancient temples, hillside Plaka has a village feel, with narrow cobblestone streets lined with tiny shops selling jewelry, clothes and local ceramics. Sidewalk cafes and family-run tavernas stay open until late, and Cine Paris shows classic movies al fresco. Nearby, the whitewashed homes of the Anafiotika neighborhood give the small enclave a Greek-island vibe."
13,Thiseio,https://goo.gl/maps/yAopz9Kaun4fnZ3u6,out,,../assets/points_of_interest/athens/out_places/thiseio.jpg,"In historic Thiseio, neoclassical buildings line hilly streets alongside open-air cafes, cozy wine bars, and rooftop restaurants with views of the Acropolis. Handicraft stalls populate cobbled Apostolou Pavlou promenade, not far from the history exhibits of the Herakleidon Museum. Atop the Hill of the Nymphs, the National Observatory of Athens has guided tours, while Thision Open Air Cinema has seasonal screenings."
14,Ancient Agora of Athens,https://goo.gl/maps/m4YGfPpVWz7JFsXt9,out,,../assets/points_of_interest/athens/out_places/AncientAgoraofAthens.jpg,"The ancient Agora of Athens is the best-known example of an ancient Greek agora, located to the northwest of the Acropolis and bounded on the south by the hill of the Areopagus and on the west by the hill known as the Agoraios Kolonos, also called Market Hill."
15,Panathenaic Stadium,https://goo.gl/maps/TCumexydvckfPtsn7,out,,../assets/points_of_interest/athens/out_places/PanathenaicStadium.jpg,"The Panathenaic Stadium or Kallimarmaro is a multi-purpose stadium in Athens, Greece. One of the main historic attractions of Athens, it is the only stadium in the world built entirely of marble."
16,Vouliagmeni Beach,https://goo.gl/maps/V71YXkFEMeyatv5u9,beach,,../assets/points_of_interest/athens/beach/vouliagmeni-beach.jpg,"Vouiagmeni is one of the best-organized beaches offering all types of beach facilities. Tennis and volleyball courts, play area for children, water slide, individual cabins and a restaurant are some of the features that make the area quite famous among Athenians.It is located 23 km south of the city centre and is easily accessed with local buses. In the wider region you will find seaside cafes and restaurants."
17,Glyfada Beach,https://goo.gl/maps/MoyD7DJqf4kXisXy5,beach,,../assets/points_of_interest/athens/beach/glyfada.jpg,"Glyfada beach is found in front of the famous coastal settlement where many Athenians visit during the summer season. It is located 16 km south of the city of Athens. In Glyfada, you will not find the typical pristine beaches, but you wil surely enjoy a refreshing swim at the crystalline waters and a relaxing sunbath."
18,Kavouri Beach,https://goo.gl/maps/7krvhBTTCQ89Mue6A,beach,,../assets/points_of_interest/athens/beach/kavoyri.jpg,"Kavouri is a nice coastal region located quite close to the city centre, about 20 km from Athens. Around the sandy coast are many nice coves with free access, others with sand and others with small pebbles. Kavouri consists an excellent choice for swimming and sunbathing with nice beach facilities and plenty of cafes located right by the sea. The beach is quite suitable for beach games, like beach volleyball and other activities."
19,Schinias Beach,https://goo.gl/maps/RKbrvw17QjmYpAdq6,beach,,../assets/points_of_interest/athens/beach/schinias.jpg,Schinias is one of the most popular coastal resorts in Attica located 45 km north east of the city centre and close to Marathon. Schinias has a great reputation for its crystalline waters and the comfortable facilities. It is a wonderful long and pine curved.
20,National Garden,https://goo.gl/maps/W2J53sh5nthL5N6o9,nature,,../assets/points_of_interest/athens/nature/national_garden.jpg,"The National Garden[ (formerly the Royal Garden) (Greek: Εθνικός Κήπος)(it was named Royal Garden until 1974) is a public park of 15.5 hectares (38 acres) in the center of the Greek capital, Athens. It is located between the districts of Kolonaki and Pangrati, directly behind the Greek Parliament building (The Old Palace) and continues to the South to the area where the Zappeion is located, across from the Panathenaiko or Kalimarmaro Olympic Stadium of the 1896 Olympic Games. The Garden also encloses some ancient ruins, column drums and Corinthian capitals of columns, mosaics, and other features. On the Southeast side are the busts of Ioannis Kapodistrias, the first governor of Greece, and of the Philhellene Jean-Gabriel Eynard. On the South side are the busts of the celebrated Greek poets Dionysios Solomos, author of the Greek National Hymn, and Aristotelis Valaoritis."
21,Mount Lycabettus,https://goo.gl/maps/KHKsAvSD8vw1hMdh6,nature,,../assets/points_of_interest/athens/nature/lycabettus.jpg,"Mount Lycabettus, also known as Lycabettos, Lykabettos or Lykavittos, is a Cretaceous limestone hill in the Greek capital Athens. At 277 meters above sea level, its summit is the highest point in Central Athens and pine trees cover its base"
22,Parnitha,https://goo.gl/maps/xsTayscvLQGvKT9F8,nature,,../assets/points_of_interest/athens/nature/Mount-Parnitha.jpg,"Mount Parnitha is a densely forested mountain range north of Attica, the highest on the peninsula of Attica, with an elevation of 1,413 m, and a summit known as Karavola. Much of the mountain is designated a national park, and is a protected habitat for wildfowl, first created in 1961."
23,Marathon Lake,https://goo.gl/maps/2fz96hsvGkGY2maN7,nature,,../assets/points_of_interest/athens/nature/marathon_lake.jpg,"Lake Marathon or the Marathon Reservoir is a water supply reservoir formed from the construction of Marathon Dam at the junction of Charadros and Varnavas Torrents near the town of Marathon, Greece. It was the primary water supply for Athens from 1931, when it became operational, until 1959."
24,Philopappos Hill,https://goo.gl/maps/nRokPNK8L3E47G8Y9,nature,,../assets/points_of_interest/athens/nature/phillopappou.jpg,"The Philopappos Monument (Greek: Μνημείο Φιλοπάππου, Mnimío Philopáppou, [mniˈmio filoˈpapu]) is an ancient Greek mausoleum and monument dedicated to Gaius Julius Antiochus Epiphanes Philopappos or Philopappus, (Greek: Γάιος Ιούλιος Αντίοχος Επιφανής Φιλόπαππος, 65–116 AD), a prince from the Kingdom of Commagene. It is located on Mouseion Hill in Athens, Greece, southwest of the Acropolis."
25,Church of Panagia Kapnikarea,https://goo.gl/maps/ddsKEWTumBEF3m8n6,religion,https://kapnikarea.wordpress.com/about/,../assets/points_of_interest/athens/religion/panagia_kapnikarea.jpg,The Church of Panagia Kapnikarea or just Kapnikarea is a Greek Orthodox church and one of the oldest churches in Athens.
26,Holy Church of Saint George,https://goo.gl/maps/JVrANrW3vSTU1ZT39,religion,,../assets/points_of_interest/athens/religion/agios_georgios.jpg,"At the top of Lycabettus is the church of Agios Georgios (St. George.) A stunning whitewashed church, which dates back to 1870."
27,Church of Saint Demetrios Loumbardiaris,https://goo.gl/maps/j3t8Rx5pbAenL1XD7,religion,,../assets/points_of_interest/athens/religion/agios-dimitrios-loumbardiaris.jpg,"The Church of Agios Dimitrios Loumbardiaris is located on Philopappos Hill, on the way to Pnyka and the Monument of Philopappou. It is considered one of the most picturesque churches of Athens and is a frequently preferred destination by Athenians as an ideal spot for weddings, baptisms or a relaxing walk."
28,Church of the Annunciation to the Virgin Mary,https://goo.gl/maps/3ia8FLhXQSkpvBGz7,religion,,../assets/points_of_interest/athens/religion/metropolitan_cathedral.jpg,"The Church of Annunciation of Virgin in Rhodes Town, Dodecanese: The Church of the Annunciation of Virgin is the most famous church in Rhodes Town."
