index,name,maps,type,website,imgpath,desc
1,Musée des Arts et Métiers,https://goo.gl/maps/R5R3cznmhDBYnuRM7,museum,,../assets/points_of_interest/paris/museums/Musee_des_Arts_et_Metiers.jpg,"The Musée des Arts et Métiers is an industrial design museum in Paris that houses the collection of the Conservatoire national des arts et métiers, which was founded in 1794 as a repository for the preservation of scientific instruments and inventions."
2,Jeu De Paume,https://g.page/jeudepaumeparis?share,museum,,../assets/points_of_interest/paris/museums/JeuDePaume.jpg,"Jeu de paume, nowadays known as real tennis, (US) court tennis or (in France) courte paume, is a ball-and-court game that originated in France.  It was an indoor precursor of tennis played without racquets, though these were eventually introduced. It is a former Olympic sport, and has the oldest ongoing annual world championship in sport, first established over 250 years ago. The term also refers to the court on which the game is played and its building, which in the 17th century was sometimes converted into a theatre."
3,Bourdelle Museum,https://goo.gl/maps/yi44XsoSCoBFAyPZ6,museum,,../assets/points_of_interest/paris/museums/BourdelleMuseum.jpg,"The Musée Bourdelle is an art museum located at 18, rue Antoine Bourdelle, in the 15th arrondissement of Paris, France, located in the old studio of French sculptor Antoine Bourdelle. The museum is open daily, except Mondays. Admission to the permanent collections is free."
4,Louvre Museum,https://goo.gl/maps/m1ZR3mFcQGsBuNhbA,museum,,../assets/points_of_interest/paris/museums/LouvreMuseum.jpg,"The Louvre, or the Louvre Museum, is the world's most-visited museum, and a historic landmark in Paris, France. It is the home of some of the best-known works of art, including the Mona Lisa and the Venus de Milo."
5,Musée d'Orsay,https://goo.gl/maps/WM7y1PrgHDT7uSsK9,museum,,../assets/points_of_interest/paris/museums/MuseedOrsay.jpg,"The Musée d'Orsay is a museum in Paris, France, on the Left Bank of the Seine. It is housed in the former Gare d'Orsay, a Beaux-Arts railway station built between 1898 and 1900. The museum holds mainly French art dating from 1848 to 1914, including paintings, sculptures, furniture, and photography."
6,Musée de l'Orangerie,https://goo.gl/maps/RfftUaNBbqRCGpvp6,museum,,../assets/points_of_interest/paris/museums/MuseedeOrangerie.jpg,The Musée de l'Orangerie is an art gallery of impressionist and post-impressionist paintings located in the west corner of the Tuileries Gardens next to the Place de la Concorde in Paris.
7,Musée Marmottan Monet,https://goo.gl/maps/TebdE6DDar1KYcTj8,museum,,../assets/points_of_interest/paris/museums/musee-marmottan-monet.jpg,"Musée Marmottan Monet features over three hundred Impressionist and Post-Impressionist paintings by Claude Monet, including his 1872 Impression, Sunrise. Marmottan Museum's fame is the result of a donation in 1966 by Michel Monet, Claude's second son and only heir."
8,Galeries Nationales du Grand Palais,https://goo.gl/maps/kAD1UFU3E31zDVK6A,museum,,../assets/points_of_interest/paris/museums/GaleriesNationalesd GrandPalais.jpg,"The galeries nationales du Grand Palais are museum spaces located in the Grand Palais in the 8th arrondissement of Paris. They serve as home to major art exhibits and cultural events programmed by the Réunion des musées nationaux et du Grand Palais des Champs-Élysées, and are open six days a week."
9,Eiffel Tower,https://goo.gl/maps/HJSHKeuo9F34avww9,out,,../assets/points_of_interest/paris/out_places/eiffel-tower.jpg,"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower."
10,Arc de Triomphe,https://goo.gl/maps/YrNdyaepXkKZ1PjJ8,out,,../assets/points_of_interest/paris/out_places/Arc-de-Triomphe.jpg,"The Arc de Triomphe de l'Étoile is one of the most famous monuments in Paris, France, standing at the western end of the Champs-Élysées at the centre of Place Charles de Gaulle, formerly named Place de l'Étoile—the étoile or ""star"" of the juncture formed by its twelve radiating avenues."
11,Montmartre,https://goo.gl/maps/syCrNmXsg9pGkxP1A,out,,../assets/points_of_interest/paris/out_places/Montmartre.jpg,"Montmartre is a large hill in Paris's 18th arrondissement. It is 130 m high and gives its name to the surrounding district, part of the Right Bank in the northern section of the city."
