index,name,maps,type,website,imgpath,desc
1,Capitoline Museums,https://goo.gl/maps/zEhmWwNWmw5FCecT7,museum,https://www.museicapitolini.org/,../assets/points_of_interest/rome/museums/capitoline-museums.jpg,"The Capitoline Museums is a single museum containing a group of art and archaeological museums in Piazza del Campidoglio, on top of the Capitoline Hill in Rome, Italy."
2,Borghese Gallery and Museum,https://goo.gl/maps/o8JK2Ycasx169coTA,museum,https://galleriaborghese.beniculturali.it/,../assets/points_of_interest/rome/museums/borghese.jpg,"The Galleria Borghese is an art gallery in Rome, Italy, housed in the former Villa Borghese Pinciana. At the outset, the gallery building was integrated with its gardens, but nowadays the Villa Borghese gardens are considered a separate tourist attraction"
3,Vatican Museums,https://g.page/musei-vaticani-roma?share,museum,,../assets/points_of_interest/rome/museums/vatican_museums.jpg,"The Vatican Museums are the public museums of the Vatican City. They display works from the immense collection amassed by the Catholic Church and the papacy throughout the centuries, including several of the most renowned Roman sculptures and most important masterpieces of Renaissance art in the world"
4,National Etruscan Museum of Villa Giulia,https://goo.gl/maps/AoDGqNXBaDLWu2GL9,museum,https://www.museoetru.it/,../assets/points_of_interest/rome/museums/NationalEtruscanMuseumofVillaGiulia.jpg,"The National Etruscan Museum is a museum of the Etruscan civilization, housed in the Villa Giulia in Rome, Italy."
5,National Gallery of Modern and Contemporary Art,https://g.page/lagallerianazionale?share,museum,https://lagallerianazionale.com/,../assets/points_of_interest/rome/museums/NationalGalleryofModernandContemporaryArt.jpg,"The Galleria Nazionale d'Arte Moderna e Contemporanea, also known as La Galleria Nazionale, is an art gallery in Rome, Italy. It was founded in 1883 on the initiative of the then Minister Guido Baccelli and is dedicated to modern and contemporary art."
6,Pantheon,https://goo.gl/maps/Chf633Hm13dtxqGa7,museum,,../assets/points_of_interest/rome/museums/,"The Pantheon is a former Roman temple and since 609 AD, a Catholic church, in Rome, Italy, on the site of an earlier temple commissioned by Marcus Agrippa during the reign of Augustus. It was rebuilt by the emperor Hadrian and probably dedicated c. 126 AD."
7,Trevi Fountain,https://goo.gl/maps/wrJ57ZM3VW1sieHz9,out,,../assets/points_of_interest/rome/out_places/Trevi_Fountain.jpg,"The Trevi Fountain is an 18th-century fountain in the Trevi district in Rome, Italy, designed by Italian architect Nicola Salvi and completed by Giuseppe Pannini and several others."
8,Colosseum,https://goo.gl/maps/EvYvXGG8nts9DBWs9,out,https://parcocolosseo.it/,../assets/points_of_interest/rome/out_places/colosseum.jpg,"The Colosseum is an oval amphitheatre in the centre of the city of Rome, Italy, just east of the Roman Forum. It is the largest ancient amphitheatre ever built, and is still the largest standing amphitheatre in the world today, despite its age."
9,Roman Forum,https://g.page/foro-romano-roma?share,out,,../assets/points_of_interest/rome/out_places/roman_forum.jpg,"The Roman Forum, also known by its Latin name Forum Romanum, is a rectangular forum surrounded by the ruins of several important ancient government buildings at the center of the city of Rome. Citizens of the ancient city referred to this space, originally a marketplace, as the Forum Magnum, or simply the Forum."
10,Castel Sant'Angelo,https://goo.gl/maps/XU99WNgBns9RM5qp9,out,,../assets/points_of_interest/rome/out_places/castel_saint_angelo.jpg,"The Mausoleum of Hadrian, usually known as Castel Sant'Angelo, is a towering cylindrical building in Parco Adriano, Rome, Italy. It was initially commissioned by the Roman Emperor Hadrian as a mausoleum for himself and his family. The building was later used by the popes as a fortress and castle, and is now a museum."
